season,team1,team2,date,match_number,venue,city,toss_winner,toss_decision,player_of_match,umpire1,umpire2,reserve_umpire,match_referee,winner,winner_runs,winner_wickets,match_type
2023,Royal Challengers Bangalore,Lucknow Super Giants,2023/05/01,43,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow,Royal Challengers Bangalore,bat,F du Plessis,AK Chaudhary,GR Sadashiv Iyer,M Krishnadas,Prakash Bhatt,Royal Challengers Bangalore,18,,Group
2023,Delhi Capitals,Gujarat Titans,2023/05/02,44,Narendra Modi Stadium,Ahmedabad,Delhi Capitals,bat,Mohammed Shami,MA Gough,R Pandit,P Joshi,V Narayan Kutty,Delhi Capitals,5,,Group
2023,Lucknow Super Giants,Chennai Super Kings,2023/05/03,45,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow,Chennai Super Kings,field,,AK Chaudhary,NA Patwardhan,M Krishnadas,Prakash Bhatt,No Result,,,Group
2023,Punjab Kings,Mumbai Indians,2023/05/03,46,Punjab Cricket Association IS Bindra Stadium,Chandigarh,Mumbai Indians,field,Ishan Kishan,J Madanagopal,RJ Tucker,Mohamad Rafi,SS Raul,Mumbai Indians,,6,Group
2023,Kolkata Knight Riders,Sunrisers Hyderabad,2023/05/04,47,Rajiv Gandhi International Stadium,Hyderabad,Kolkata Knight Riders,bat,CV Varun,KN Ananthapadmanabhan,MA Gough,P Joshi,V Narayan Kutty,Kolkata Knight Riders,5,,Group
2023,Rajasthan Royals,Gujarat Titans,2023/05/05,48,Sawai Mansingh Stadium,Jaipur,Rajasthan Royals,bat,Rashid Khan,HAS Khalid,VK Sharma,VM Dhokre,J Srinath,Gujarat Titans,,9,Group
2023,Mumbai Indians,Chennai Super Kings,2023/05/06,49,MA Chidambaram Stadium,Chennai,Chennai Super Kings,field,M Pathirana,BNJ Oxenford,Navdeep Singh,P Joshi,V Narayan Kutty,Chennai Super Kings,,6,Group
2023,Royal Challengers Bangalore,Delhi Capitals,2023/05/06,50,Arun Jaitley Stadium,Delhi,Royal Challengers Bangalore,bat,PD Salt,RJ Tucker,YC Barde,Mohamad Rafi,M Nayyar,Delhi Capitals,,7,Group
2023,Gujarat Titans,Lucknow Super Giants,2023/05/07,51,Narendra Modi Stadium,Ahmedabad,Lucknow Super Giants,field,Shubman Gill,AK Chaudhary,A Nand Kishore,M Krishnadas,Prakash Bhatt,Gujarat Titans,56,,Group
2023,Rajasthan Royals,Sunrisers Hyderabad,2023/05/07,52,Sawai Mansingh Stadium,Jaipur,Rajasthan Royals,bat,GD Phillips,Nitin Menon,Vinod Seshan,VM Dhokre,J Srinath,Sunrisers Hyderabad,,4,Group
2023,Punjab Kings,Kolkata Knight Riders,2023/05/08,53,Eden Gardens,Kolkata,Punjab Kings,bat,AD Russell,A Totre,J Madanagopal,Mohamad Rafi,SS Raul,Kolkata Knight Riders,,5,Group
2023,Royal Challengers Bangalore,Mumbai Indians,2023/05/09,54,Wankhede Stadium,Mumbai,Mumbai Indians,field,SA Yadav,HAS Khalid,VK Sharma,VM Dhokre,RS Sodhi,Mumbai Indians,,6,Group
2023,Chennai Super Kings,Delhi Capitals,2023/05/10,55,MA Chidambaram Stadium,Chennai,Chennai Super Kings,bat,RA Jadeja,CB Gaffaney,NA Patwardhan,M Krishnadas,Sanjay Verma,Chennai Super Kings,27,,Group
2023,Kolkata Knight Riders,Rajasthan Royals,2023/05/11,56,Eden Gardens,Kolkata,Rajasthan Royals,field,YBK Jaiswal,RJ Tucker,MV Saidharshan Kumar,P Joshi,P Dharmani,Rajasthan Royals,,9,Group
2023,Mumbai Indians,Gujarat Titans,2023/05/12,57,Wankhede Stadium,Mumbai,Gujarat Titans,field,SA Yadav,Nitin Menon,Tapan Sharma,VM Dhokre,RS Sodhi,Mumbai Indians,27,,Group
2023,Sunrisers Hyderabad,Lucknow Super Giants,2023/05/13,58,Rajiv Gandhi International Stadium,Hyderabad,Sunrisers Hyderabad,bat,PN Mankad,A Totre,J Madanagopal,Mohamad Rafi,P Dharmani,Lucknow Super Giants,,7,Group
2023,Punjab Kings,Delhi Capitals,2023/05/13,59,Arun Jaitley Stadium,Delhi,Delhi Capitals,field,P Simran Singh,CB Gaffaney,NA Patwardhan,M Krishnadas,Sanjay Verma,Punjab Kings,31,,Group
2023,Royal Challengers Bangalore,Rajasthan Royals,2023/05/14,60,Sawai Mansingh Stadium,Jaipur,Royal Challengers Bangalore,bat,WD Parnell,KN Ananthapadmanabhan,Navdeep Singh,P Joshi,V Narayan Kutty,Royal Challengers Bangalore,112,,Group
2023,Chennai Super Kings,Kolkata Knight Riders,2023/05/14,61,MA Chidambaram Stadium,Chennai,Chennai Super Kings,bat,RK Singh,Tapan Sharma,Vinod Seshan,VM Dhokre,J Srinath,Kolkata Knight Riders,,6,Group
2023,Gujarat Titans,Sunrisers Hyderabad,2023/05/15,62,Narendra Modi Stadium,Ahmedabad,Sunrisers Hyderabad,field,Shubman Gill,J Madanagopal,UV Gandhe,Mohamad Rafi,M Nayyar,Gujarat Titans,34,,Group
2023,Lucknow Super Giants,Mumbai Indians,2023/05/16,63,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow,Mumbai Indians,field,MP Stoinis,AK Chaudhary,A Nand Kishore,M Krishnadas,Sanjay Verma,Lucknow Super Giants,5,,Group
2023,Delhi Capitals,Punjab Kings,2023/05/17,64,Himachal Pradesh Cricket Association Stadium,Dharamsala,Punjab Kings,field,RR Rossouw,KN Ananthapadmanabhan,MV Saidharshan Kumar,P Joshi,P Dharmani,Delhi Capitals,15,,Group
2023,Sunrisers Hyderabad,Royal Challengers Bangalore,2023/05/18,65,Rajiv Gandhi International Stadium,Hyderabad,Royal Challengers Bangalore,field,V Kohli,BNJ Oxenford,VK Sharma,VM Dhokre,J Srinath,Royal Challengers Bangalore,,8,Group
2023,Punjab Kings,Rajasthan Royals,2023/05/19,66,Himachal Pradesh Cricket Association Stadium,Dharamsala,Rajasthan Royals,field,D Padikkal,A Nand Kishore,RJ Tucker,P Joshi,P Dharmani,Rajasthan Royals,,4,Group
2023,Chennai Super Kings,Delhi Capitals,2023/05/20,67,Arun Jaitley Stadium,Delhi,Chennai Super Kings,bat,RD Gaikwad,CB Gaffaney,NA Patwardhan,M Krishnadas,Sanjay Verma,Chennai Super Kings,77,,Group
2023,Lucknow Super Giants,Kolkata Knight Riders,2023/05/20,68,Eden Gardens,Kolkata,Kolkata Knight Riders,field,N Pooran,J Madanagopal,UV Gandhe,Mohamad Rafi,M Nayyar,Lucknow Super Giants,1,,Group
2023,Sunrisers Hyderabad,Mumbai Indians,2023/05/21,69,Wankhede Stadium,Mumbai,Mumbai Indians,field,C Green,KN Ananthapadmanabhan,RJ Tucker,P Joshi,P Dharmani,Mumbai Indians,,8,Group
2023,Royal Challengers Bangalore,Gujarat Titans,2023/05/21,70,M Chinnaswamy Stadium,Bengaluru,Gujarat Titans,field,Shubman Gill,Nitin Menon,VK Sharma,VM Dhokre,J Srinath,Gujarat Titans,,6,Group
2023,Chennai Super Kings,Gujarat Titans,2023/05/23,71,MA Chidambaram Stadium,Chennai,Gujarat Titans,field,RD Gaikwad,AK Chaudhary,CB Gaffaney,VK Sharma,M Nayyar,Chennai Super Kings,15,,Qualifier
2023,Mumbai Indians,Lucknow Super Giants,2023/05/24,72,MA Chidambaram Stadium,Chennai,Mumbai Indians,bat,Akash Madhwal,BNJ Oxenford,VK Sharma,AK Chaudhary,V Narayan Kutty,Mumbai Indians,81,,Eliminator
2023,Gujarat Titans,Mumbai Indians,2023/05/26,73,Narendra Modi Stadium,Ahmedabad,Mumbai Indians,field,Shubman Gill,Nitin Menon,RJ Tucker,KN Ananthapadmanabhan,J Srinath,Gujarat Titans,62,,Qualifier
2023,Gujarat Titans,Chennai Super Kings,2023/05/29,74,Narendra Modi Stadium,Ahmedabad,Chennai Super Kings,field,DP Conway,Nitin Menon,RJ Tucker,J Madanagopal,J Srinath,Chennai Super Kings,,5,Final
